precio,preciom2
104000,1253.01204819277
182000,1915.78947368421
77000,1100
95000,1233.76623376623
114900,1351.76470588235
149999,1785.70238095238
91000,1300
118500,1362.06896551724
136000,1563.2183908046
110500,1453.94736842105
120000,1600
89990,1097.43902439024
109000,1415.58441558442
75000,1071.42857142857
189000,1561.98347107438
115000,1277.77777777778
96400,1095.45454545455
102500,1250
121990,1524.875
108990,1415.45454545455
92260,1085.41176470588
104900,1279.26829268293
135000,2250
115000,1277.77777777778
172900,1490.51724137931
97000,1347.22222222222
69700,995.714285714286
94500,1350
188000,1978.94736842105
99900,1218.29268292683
130000,2166.66666666667
120000,1500
109000,1415.58441558442
115000,1277.77777777778
115000,1277.77777777778
126000,1260
94680,1434.54545454545
87000,1160
120000,1538.46153846154
70000,1272.72727272727
95000,1172.83950617284
122300,1853.0303030303
102900,1156.1797752809
69700,995.714285714286
99500,1213.41463414634
96260,1203.25
120000,1518.98734177215
86000,1075
115000,1642.85714285714
139900,1399
97500,1250
99000,1164.70588235294
80000,1333.33333333333
130000,2166.66666666667
119980,1363.40909090909
149999,1785.70238095238
82800,1182.85714285714
135000,2250
108000,1227.27272727273
92000,1045.45454545455
120000,1538.46153846154
155000,1722.22222222222
96000,1200
76100,1268.33333333333
76100,1170.76923076923
119990,1411.64705882353
135000,2076.92307692308
120000,1061.94690265487
184000,1373.13432835821
108000,1227.27272727273
99000,1375
190000,1979.16666666667
112000,1696.9696969697
60800,1169.23076923077
95000,1233.76623376623
170000,1888.88888888889
128900,1342.70833333333
2e+05,1666.66666666667
110000,1358.02469135802
93840,1538.36065573771
75000,974.025974025974
115000,1277.77777777778
122260,1490.9756097561
197500,1717.39130434783
104000,1253.01204819277
77000,1054.79452054795
119000,1307.69230769231
130000,1444.44444444444
89400,1334.32835820896
130000,2166.66666666667
184990,1947.26315789474
115000,1277.77777777778
115000,1277.77777777778
120000,1500
80000,1818.18181818182
96400,1095.45454545455
90000,1022.72727272727
97300,1144.70588235294
89500,1091.46341463415
176000,1530.4347826087
121990,1524.875
69000,945.205479452055
69700,995.714285714286
69000,985.714285714286
84900,1391.80327868852
94490,1349.85714285714
86000,1228.57142857143
91000,1300
96900,1292
90990,1109.63414634146
87000,1023.52941176471
87000,1087.5
190000,1979.16666666667
99900,1264.55696202532
114900,1351.76470588235
197000,1824.07407407407
115000,1277.77777777778
172900,1490.51724137931
96400,1095.45454545455
89990,1097.43902439024
103000,1144.44444444444
110500,1453.94736842105
109000,1415.58441558442
119900,1462.19512195122
109000,1415.58441558442
87000,1087.5
189000,1561.98347107438
108990,1415.45454545455
103000,1430.55555555556
103000,1144.44444444444
95000,1357.14285714286
