precio,preciom2
118500,1362.06896551724
131000,1423.91304347826
82000,1171.42857142857
122300,1853.0303030303
108000,1227.27272727273
135000,2076.92307692308
119990,1411.64705882353
92000,1045.45454545455
115000,1277.77777777778
93000,1162.5
128900,1342.70833333333
119900,1462.19512195122
115000,1277.77777777778
78000,1560
87000,1023.52941176471
194990,1949.9
95000,1357.14285714286
95000,1266.66666666667
104000,1253.01204819277
93000,1328.57142857143
87000,1087.5
175990,1530.34782608696
96400,1095.45454545455
184990,1947.26315789474
94680,1434.54545454545
130000,1397.84946236559
89990,1097.43902439024
109000,1415.58441558442
77000,1149.25373134328
121000,1512.5
93000,1328.57142857143
126900,1410
109000,1415.58441558442
97800,1222.5
72111,1222.22033898305
108000,1213.48314606742
115000,1666.66666666667
80000,1000
99000,1237.5
93000,1328.57142857143
122300,1853.0303030303
80000,1066.66666666667
120000,1428.57142857143
120000,1333.33333333333
87000,1208.33333333333
156000,2400
80000,1066.66666666667
99000,1237.5
69700,995.714285714286
99500,1213.41463414634
120000,1538.46153846154
149990,1874.875
96260,1203.25
120000,1538.46153846154
86000,1228.57142857143
69700,995.714285714286
89000,1483.33333333333
118500,1362.06896551724
131000,1423.91304347826
119980,1538.20512820513
135000,2250
119900,1427.38095238095
119900,1462.19512195122
87000,1087.5
108000,1227.27272727273
99000,1237.5
90000,1323.52941176471
89500,1491.66666666667
119990,1411.64705882353
135000,2076.92307692308
102500,1250
119900,1427.38095238095
130000,1566.26506024096
117000,1409.63855421687
99000,1237.5
78000,975
128900,1342.70833333333
107500,1343.75
105000,1909.09090909091
110000,1358.02469135802
82000,1171.42857142857
93000,1162.5
197500,1717.39130434783
154000,1925
120000,1600
75000,974.025974025974
115000,1277.77777777778
115000,1277.77777777778
60800,1169.23076923077
115000,1277.77777777778
172000,2023.52941176471
81500,1072.36842105263
77500,880.681818181818
95000,1397.05882352941
96400,1095.45454545455
115000,1277.77777777778
95000,1357.14285714286
88000,897.95918367347
184990,2055.44444444444
79000,1053.33333333333
99000,1237.5
130000,2166.66666666667
90000,1285.71428571429
127260,1551.9512195122
79900,1229.23076923077
99900,1110
93000,1550
99000,1237.5
97300,1144.70588235294
90000,1022.72727272727
115000,1277.77777777778
89500,1118.75
121990,1524.875
69000,985.714285714286
176000,1530.4347826087
90000,1304.34782608696
84000,1150.68493150685
94490,1349.85714285714
122260,1490.9756097561
86000,1228.57142857143
126000,1400
96900,1292
69700,995.714285714286
77500,880.681818181818
94680,1434.54545454545
84900,1391.80327868852
118500,1362.06896551724
99900,1264.55696202532
90990,1109.63414634146
197000,1824.07407407407
77000,1100
172900,1490.51724137931
87000,1087.5
80000,1818.18181818182
103000,1144.44444444444
87000,1087.5
110500,1453.94736842105
170000,1868.13186813187
103000,1373.33333333333
110000,1571.42857142857
93000,1328.57142857143
109000,1415.58441558442
121000,1512.5
107260,1392.98701298701
84000,1120
119900,1462.19512195122
77000,1100
156000,2080
109000,1415.58441558442
82000,1171.42857142857
84900,1391.80327868852
126900,1410
84900,1391.80327868852
76100,1170.76923076923
69000,985.714285714286
93000,1162.5
82800,1166.19718309859
90000,1304.34782608696
115000,1277.77777777778
125000,1470.58823529412
119990,1411.64705882353
135000,2076.92307692308
87000,1023.52941176471
95000,1357.14285714286
290000,2180.45112781955
108000,1227.27272727273
92000,1045.45454545455
115000,1277.77777777778
82000,1171.42857142857
130000,2166.66666666667
